unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,B-S_X_O,CZ	21.1 	21.5 	22.5 	22.5 	22.3 	22.5 	22.6 	21.6 	25.9 	26.2 	23.6 
PC,B-S_X_O,DE	21 p	21.5 p	22 p	22.3 	22.1 	22.7 	22.4 	22.3 	22.6 	22.8 	22.8 
PC,B-S_X_O,DK	14.7 	15.0 	15.1 	16.0 	16.5 	16.8 	16.4 	17.1 	16.8 	17.1 	17.7 
PC,B-S_X_O,EA19	16.1 p	16.4 p	16.6 p	16.8 	17.1 	17.6 	17.3 	17.0 	: 	: 	: 
PC,B-S_X_O,EE	25.6 	25.3 	26.9 	28.1 	29.8 	29.9 	27.3 	27.7 	26.6 	27.6 	30.9 
PC,B-S_X_O,EL	: 	: 	: 	12.5 	: 	: 	: 	15.0 	: 	22 d	21.5 
PC,B-S_X_O,ES	15.1 p	15.1 	14.2 	14.9 	17.8 	18.7 	17.6 	16.2 	16.7 	16.1 	18.1 
PC,B-S_X_O,EU27	16.1 p	16.3 p	16.6 p	16.6 	16.9 	17.5 	17.2 	17.2 	17.2 p	17.3 	: 
PC,B-S_X_O,EU28	16.0 p	16.3 p	16.5 p	16.6 	16.8 	17.4 	17.1 	17.1 	: 	: 	: 
PC,B-S_X_O,FI	16.7 p	17.4 	17.6 	18.4 	18.8 	19.2 	19.1 	20.3 	20.8 	20.5 	20.2 
PC,B-S_X_O,FR	15.4 p	15.3 p	15.3 	15.5 	15.5 	15.6 	15.7 	15.6 	15.2 	16.9 	17.3 
PC,B-S_X_O,HR	11.6 	11.1 	: 	8.7 	7.7 	: 	: 	5.7 	: 	: 	: 
PC,B-S_X_O,HU	14.2 p	14.0 	14.0 	15.1 	18.4 	20.1 	18.0 	17.6 	17.1 	17.5 	16.3 
PC,B-S_X_O,IE	: 	: 	: 	13.9 	12.9 	12.2 	12.7 	13.9 	12.6 	12.6 	17.3 
PC,B-S_X_O,IS	15.5 	15.8 	17.5 	16.7 	19.0 	17.7 	17.8 	17.7 	18.0 	20.7 	24.0 
PC,B-S_X_O,IT	5 p	5.3 	5.5 	6.1 	7.0 	6.5 	5.7 	5.3 	5.5 	4.9 	5.1 
PC,B-S_X_O,LT	15.2 	14.4 	14.2 	13.3 	12.2 	11.9 	11.5 	11.9 b	15.3 	21.6 	22.6 
PC,B-S_X_O,LU	5.0 	5.5 	5.5 	5.4 	6.2 	7.0 	7.9 	8.7 	9.2 	9.7 	10.2 
PC,B-S_X_O,LV	15.7 	17.0 	17.0 	17.3 	16.0 	14.9 	14.1 	15.5 	13.1 	11.8 	13.6 
PC,B-S_X_O,ME	: 	: 	: 	7.7 	: 	: 	: 	: 	: 	: 	: 
PC,B-S_X_O,MK	: 	: 	: 	9.1 	: 	: 	: 	: 	: 	: 	: 
PC,B-S_X_O,MT	12.2 	11.0 	10.4 	10.6 	9.7 	9.5 	7.7 	7.2 	7.7 	9.2 	7.8 
PC,B-S_X_O,NL	15.2 	15.6 	16.1 	16.2 	16.6 	17.6 	18.6 	17.8 	18.5 	18.9 	19.3 
PC,B-S_X_O,NO	14.3 	14.9 	16.2 	14.5 	15.5 	14.7 	15.7 	16.1 	16.5 	17.0 	15.6 
PC,B-S_X_O,PL	7.2 p	7.2 	7.4 	7.7 	7.1 	6.4 	5.5 	4.5 	8.0 	11.4 	14.9 
PC,B-S_X_O,PT	16.3 	17.5 	17.8 	14.9 	13.3 	15.0 	12.9 	12.8 	10.0 	9.2 	8.5 
PC,B-S_X_O,RO	3.5 e	5.2 e	5.8 e	4.5 	4.9 	6.9 	9.6 	8.8 	7.4 d	8.5 d	12.5 d
PC,B-S_X_O,RS	: 	: 	: 	8.7 	: 	: 	: 	: 	: 	: 	: 
PC,B-S_X_O,SE	12.6 	13.3 	14.0 	13.8 	14.6 	15.5 	15.6 	15.4 	15.7 	16.9 	17.8 
PC,B-S_X_O,SI	8.0 	7.8 	8.1 	7.0 	6.3 	4.5 	3.3 	0.9 	-0.9 	4.1 	5.0 
PC,B-S_X_O,SK	19.8 	19.0 	19.6 	19.7 	18.8 	20.8 	20.1 	19.6 	21.9 	20.9 	23.6 
PC,B-S_X_O,TR	: 	: 	: 	-1.3 	: 	: 	: 	: 	: 	: 	: 
PC,B-S_X_O,UK	20.8 p	20.7 	21.0 	20.9 	21.0 	22.6 	21.8 	23.3 b	20.6 	21.4 	20.8 
PC,C,AT	21.6 	21.8 	22.7 	23.0 	: 	: 	: 	24.4 	: 	: 	: 
PC,C,BE	6.0 	6.2 	6.2 	6.4 	7.6 	8.9 	10.1 	11.5 	11.9 	12.5 	13.3 
PC,C,BG	24.7 	24.8 	26.2 	25.0 	26.8 	26.4 	25.2 	24.1 	24.2 	25.0 	24.2 
PC,C,CH	17.7 	17.7 	17.9 	18.0 	18.3 	18.2 	18.4 	19.8 	21.2 d	21.3 d	: 
PC,C,CY	29.3 	29.0 	29.2 	28.4 	29.5 	30.4 	32.5 	33.4 	33.5 	35.8 	: 
PC,C,CZ	25.1 	25.1 	27.3 	27.6 	27.4 	27.5 	27.8 	28.1 	30.4 	29.8 	: 
PC,C,DE	24.6 p	25 p	25.5 p	26.5 	26.2 	26.5 	27.2 	27.4 	27.8 	28.4 	28.9 
PC,C,DK	9.9 	10.7 	10.9 	12.5 	12.8 	13.6 	13.2 	13.9 	14.5 	15.4 	: 
PC,C,EE	29.0 	30.0 	30.4 	30.4 	33.6 	33.3 	31.5 	31.6 	31.2 	30.7 	: 
