unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,L,EE	12.0 	14.6 	14.5 	28.6 	17.8 	19.5 	28.4 	22.8 	19.3 	15.7 	: 
PC,L,EL	: 	: 	: 	-6.2 	: 	: 	: 	-12.9 	: 	: 	: 
PC,L,ES	24.1 p	24.1 	22.8 	18.0 	21.4 	19.4 	21.9 	22.6 	18.0 	23.6 	21.7 
PC,L,FI	16.3 p	16.0 	19.0 	18.4 	18.3 	19.6 	19.8 	19.2 	19.8 	21.7 	: 
PC,L,FR	11.6 p	11.6 p	11.6 	11.1 	13.5 	15.9 	19.2 	21.3 	23.1 	22.6 	: 
PC,L,HR	14.7 	14.7 	: 	11.6 	13.0 	: 	: 	18.3 	: 	: 	: 
PC,L,HU	8.7 p	10.9 	0.6 	7.3 	3.3 	-1.3 	3.4 	14.9 	5.3 	9.7 	: 
PC,L,IE	: 	: 	: 	: c	: c	: c	: c	29.5 	28.1 	32.1 	: 
PC,L,IT	: c	: c	: c	27.8 	: c	: c	: c	25.2 	: 	: 	: 
PC,L,LT	12.9 	13.9 	14.5 	15.0 	15.2 	15.3 	15.7 	13.3 b	18.5 	11.3 	11.5 
PC,L,LU	16.8 	19.1 	20.8 	23.2 	23.8 	22.1 	23.0 	25.4 u	: 	: 	: 
PC,L,LV	13.8 	19.2 	18.7 	19.4 	15.4 	: u	10.4 	7.9 	: 	: 	: 
PC,L,ME	: 	: 	: 	27.7 	: 	: 	: 	: 	: 	: 	: 
PC,L,MK	: 	: 	: 	-3.9 	: 	: 	: 	: 	: 	: 	: 
PC,L,MT	7.3 u	20.5 	19.3 	14.2 u	18.9 u	19.7 u	24.9 u	44.8 	33.3 	26.1 	: 
PC,L,NL	17.4 	17.0 	17.2 	16.6 	17.2 	18.1 	19.4 	11.6 	13.0 	13.6 	: 
PC,L,NO	18.4 	20.3 	19.8 	17.7 	13.0 	16.5 	15.9 	18.0 	19.3 	18.8 	: 
PC,L,PL	7.4 p	7.4 	11.0 	14.5 	14.2 	13.9 	13.1 	12.2 	12.7 	13.1 	13.6 
PC,L,PT	18.9 	19.2 	18.3 	16.2 	17.9 	27.0 	36.8 	35.7 	36.6 	37.6 	38.5 
PC,L,RO	10.6 e	10 e	4.9 e	0.6 	3.3 	8.3 	18.5 	11.3 	7.7 d	6.6 d	-16.8 d
PC,L,RS	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 
PC,L,SE	8.1 	7.5 	7.1 	9.9 	10.0 	10.2 	9.2 	11.6 	11.5 	12.4 	: 
PC,L,SI	-3.7 	-5.5 	-3.9 	-4.5 	-5.6 	1.1 	7.3 	8.9 	7.4 	14.4 	18.1 
PC,L,SK	23.5 	26.0 	23.1 	21.8 	36.4 	21.3 	25.4 	18.5 	26.8 	13.0 	: 
PC,L,TR	: 	: 	: 	-3.3 	: 	: 	: 	: 	: 	: 	: 
PC,L,UK	21.9 p	22.9 	22.1 	22.7 	27.5 	28.3 	28.9 	26.6 b	28.3 	37.9 	29.0 
PC,M,AT	30.0 	30.8 	31.3 	31.5 	: 	: 	: 	34.0 	: 	: 	: 
PC,M,BE	15.2 	15.2 	15.3 	15.3 	16.3 	17.3 	18.3 	19.4 	19.5 	20.1 	20.4 
PC,M,BG	3.1 	1.1 	9.3 	13.1 	14.0 	12.6 	6.4 	8.4 	11.7 	11.8 	-9.2 
PC,M,CH	22.7 	22.7 	22.6 	22.6 	23.3 	23.3 	23.4 	24.0 	27.3 d	27.4 d	: 
PC,M,CY	32.8 	33.9 	34.8 	35.4 	36.2 	35.4 	34.1 	33.6 	35.3 	37.3 	: 
PC,M,CZ	24.0 	25.7 	24.8 	27.8 	26.3 	27.7 	25.6 	27.2 	28.0 	25.8 	: 
PC,M,DE	30.7 p	31.3 p	30.7 p	31.3 	31.4 	33.6 	32.8 	33.7 	34.0 	33.9 	34.2 
PC,M,DK	19.8 	20.3 	20.6 	21.6 	22.8 	23.4 	23.9 	24.4 	23.2 	23.1 	: 
PC,M,EE	29.0 	22.6 	25.5 	20.2 	21.6 	20.5 	23.8 	18.7 	18.7 	19.5 	: 
PC,M,EL	: 	: 	: 	12.0 	: 	: 	: 	27.8 	: 	: 	: 
PC,M,ES	20.9 p	20.9 	19.6 	19.8 	20.5 	23.6 	23.1 	22.2 	23.3 	24.4 	24.6 
PC,M,FI	14.6 p	15.9 	14.9 	16.7 	16.8 	16.9 	17.6 	18.9 	19.5 	20.2 	: 
PC,M,FR	22.2 p	22.4 p	22.4 	23.2 	23.5 	23.5 	23.7 	24.4 	25.2 	27.0 	: 
PC,M,HR	12.7 	14.6 	: 	6.7 	16.1 	: 	: 	5.4 	: 	: 	: 
PC,M,HU	17.4 p	17.1 	12.1 	12.8 	13.9 	12.7 	14.4 	14.7 	10.2 	12.0 	: 
PC,M,IE	: 	: 	: 	21.4 	21.4 	17.7 	22.3 	30.7 	32.1 	23.8 	: 
PC,M,IT	29.1 p	28.9 	29.1 	25.6 	28.9 	23.9 	28.1 	21.1 	: 	: 	: 
PC,M,LT	16.8 	16.0 	17.4 	17.4 	19.8 	14.6 	15.3 	15.6 b	21.4 	23.2 	12.6 
PC,M,LU	25.4 	25.4 	25.1 	24.7 	23.3 	22.8 	22.3 	21.1 	: 	: 	: 
PC,M,LV	14.6 	7.9 	14.0 	16.0 	12.7 	11.8 	9.5 	13.3 	: 	: 	: 
PC,M,ME	: 	: 	: 	-22.6 	: 	: 	: 	: 	: 	: 	: 
PC,M,MK	: 	: 	: 	27.5 	: 	: 	: 	: 	: 	: 	: 
PC,M,MT	22.6 	25.2 	23.9 	21.6 	17.6 	13.7 	9.7 	8.4 	10.9 	16.5 	: 
PC,M,NL	22.3 	23.0 	23.9 	24.1 	24.5 	25.4 	26.5 	17.4 	18.1 	18.7 	: 
PC,M,NO	20.4 	20.8 	21.8 	20.0 	21.6 	21.5 	22.0 	22.8 	23.0 	23.3 	: 
PC,M,PL	14.9 p	14.9 	17.0 	19.2 	19.2 	19.2 	18.3 	17.4 	19.5 	21.6 	23.7 
PC,M,PT	19.4 	19.9 	19.7 	16.3 	17.5 	23.1 	23.4 	12.7 	13.5 	14.3 	15.1 
PC,M,RO	1.8 e	-1.4 e	0.6 e	1.1 	1.3 	-1.0 	2.3 	-0.2 	-1.4 d	-0.3 d	-17 d
PC,M,RS	: 	: 	: 	3.3 	: 	: 	: 	: 	: 	: 	: 
PC,M,SE	12.3 	14.0 	16.9 	15.7 	15.9 	18.9 	17.3 	18.3 	18.2 	20.0 	: 
PC,M,SI	-0.9 	-1.9 	-1.7 	-0.7 	1.8 	5.9 	11.0 	13.9 	12.5 	14.3 	15.3 
PC,M,SK	16.7 	15.9 	14.6 	19.0 	13.0 	18.4 	11.4 	12.7 	23.3 	21.4 	: 
PC,M,TR	: 	: 	: 	10.4 	: 	: 	: 	: 	: 	: 	: 
PC,M,UK	23.7 p	22.8 	25.3 	25.1 	26.3 	28.4 	29.3 	30.1 b	29.2 	32.2 	30.0 
PC,N,AT	17.7 	18.0 	20.0 	19.5 	: 	: 	: 	22.5 	: 	: 	: 
PC,N,BE	9.0 	9.1 	9.1 	9.2 	11.3 	13.4 	15.4 	17.6 	18.0 	18.9 	19.5 
PC,N,BG	-24.3 	-24.6 	-26.8 	-27.9 	-14.5 	-14.9 	-15.7 	-7.5 	-4.2 	-13.0 	-15.3 
PC,N,CH	17.0 	17.2 	17.4 	17.4 	17.6 	17.3 	17.4 	21.6 	21.3 d	21.4 d	: 
PC,N,CY	9.8 	9.2 	10.5 	8.7 	10.8 	14.5 	16.5 	19.7 	27.9 	29.0 	: 
PC,N,CZ	9.6 	7.2 	6.7 	6.6 	7.8 	7.9 	9.1 	7.6 	11.0 	13.0 	: 
PC,N,DE	14.3 p	14.1 p	14.8 p	14.9 	14.0 	12.4 	12.9 	12.4 	14.5 	13.9 	14.2 
PC,N,DK	2.3 	3.1 	3.4 	1.7 	4.2 	7.0 	7.0 	3.5 	-1.5 	2.6 	: 
PC,N,EE	11.1 	19.1 	10.8 	26.0 	24.2 	22.0 	9.1 	16.0 	18.2 	21.1 	: 
PC,N,EL	: 	: 	: 	15.0 	: 	: 	: 	5.0 	: 	: 	: 
PC,N,ES	15.8 p	15.8 	16.5 	14.6 	14.6 	15.0 	16.4 	16.4 	16.5 	16.1 	16.8 
PC,N,FI	12.4 p	12.7 	13.1 	11.4 	13.3 	13.9 	14.2 	15.8 	14.1 	10.6 	: 
PC,N,FR	8.2 p	8.5 p	9.1 	10.4 	9.5 	9.0 	8.8 	9.0 	5.4 	8.4 	: 
PC,N,HR	-3.5 	-18.6 	: 	-10.8 	-7.6 	: 	: 	10.1 	: 	: 	: 
PC,N,HU	5 p	5.9 	7.0 	8.2 	9.1 	6.5 	11.1 	5.0 	2.4 	16.2 	: 
PC,N,IE	: 	: 	: 	12.2 	14.8 	13.3 	17.7 	15.7 	19.1 	-4.2 	: 
PC,N,IT	8.8 p	9.2 	13.5 	10.8 	: c	: c	: c	8.4 	: 	: 	: 
PC,N,LT	13.2 	14.3 	14.1 	13.5 	12.5 	12.4 	10.7 	14.1 b	11.9 	22.0 	13.7 
PC,N,LU	13.5 	13.8 	13.8 	13.8 	14.1 	14.1 	13.0 	15.1 	: 	: 	: 
PC,N,LV	6.2 	11.3 	8.7 	14.3 	15.3 	14.9 	11.7 	6.7 	: 	: 	: 
PC,N,ME	: 	: 	: 	13.0 	: 	: 	: 	: 	: 	: 	: 
PC,N,MK	: 	: 	: 	5.5 	: 	: 	: 	: 	: 	: 	: 
PC,N,MT	4.5 	8.6 	11.7 	16.4 	14.0 	13.4 	13.6 	8.4 	14.9 	15.8 	: 
PC,N,NL	9.1 	9.5 	10.2 	10.6 	11.8 	11.5 	11.3 	15.1 	15.5 	15.6 	: 
PC,N,NO	7.6 	8.1 	9.1 	8.6 	8.3 	7.5 	8.8 	9.9 	10.3 	9.6 	: 
PC,N,PL	1.8 p	1.8 	0.5 	-0.8 	0.8 	2.3 	1.1 	-0.2 	6.0 	12.2 	18.4 
PC,N,PT	16.9 	22.8 	24.0 	27.7 	25.9 	23.8 	21.8 	22.0 	15.2 	17.3 	10.4 
PC,N,RO	-24.2 e	-27.8 e	-27.9 e	-30.3 	-31.9 	-32.5 	-26.0 	-21.3 	-27.9 d	25.8 d	-14.6 d
PC,N,RS	: 	: 	: 	-4.5 	: 	: 	: 	: 	: 	: 	: 
PC,N,SE	3.2 	5.3 	5.3 	6.9 	6.2 	7.0 	7.1 	8.8 	7.0 	9.5 	: 
PC,N,SI	10.6 	9.1 	7.8 	6.4 	7.4 	8.6 	11.0 	12.7 	15.1 	18.8 	18.8 
PC,N,SK	5.2 	6.9 	8.7 	10.0 	8.8 	9.2 	7.8 	6.2 	7.3 	1.5 	: 
PC,N,TR	: 	: 	: 	-3.6 	: 	: 	: 	: 	: 	: 	: 
PC,N,UK	11.3 p	10.0 	10.1 	10.4 	8.9 	11.5 	10.5 	14.9 b	9.8 	8.5 	10.0 
PC,O,BG	6.7 	4.9 	6.3 	5.2 	3.7 	9.2 	9.5 	12.5 	13.0 	10.8 	4.9 
PC,O,CH	17.6 	17.6 	17.6 	17.9 	17.9 	18.3 	17.9 	17.2 	17.4 d	17.5 d	: 
PC,O,CY	7.4 	11.5 	12.6 	13.6 	14.1 	14.5 	16.2 	16.0 	18.8 	20.4 	: 
PC,O,CZ	14.1 	13.2 	13.2 	12.6 	12.3 	13.8 	14.2 	16.3 	17.0 	18.1 	: 
PC,O,DE	7.7 p	8 p	8 p	8.2 	7.8 	8.1 	8.0 	8.5 	: 	: 	: 
PC,O,DK	6.0 	6.5 	7.3 	11.0 	10.0 	9.4 	9.5 	11.7 	11.0 	5.0 	: 
PC,O,EE	10.9 	7.9 	6.1 	8.4 	8.4 	8.8 	9.8 	10.6 	13.4 	16.0 	: 
PC,O,EL	: 	: 	: 	: 	: 	: 	: 	15.9 	: 	: 	: 
PC,O,ES	8.5 p	8.5 	5.7 	6.6 	12.1 	10.5 	12.5 	10.1 	11.1 	12.0 	: 
PC,O,FI	14.4 p	14.8 	16.6 	17.0 	15.9 	16.1 	15.5 	18.3 	17.6 	18.0 	: 
PC,O,FR	12.5 p	12.5 p	12.5 	12.2 	13.0 	11.6 	12.2 	11.6 	: 	: 	: 
PC,O,HR	12.9 	13.3 	: 	14.9 	20.8 	: 	: 	9.0 	: 	: 	: 
PC,O,HU	9.3 p	13.5 	4.2 	3.6 	-0.8 	-1.7 	3.9 	3.7 	7 d	15.1 	: 
PC,O,IE	: 	: 	: 	14.1 	14.6 	14.8 	16.6 	7.0 	8.6 	11.4 	: 
PC,O,IS	11.4 p	10.9 p	8.6 p	9.8 p	11.6 p	12.5 p	13.3 p	14.5 p	15.6 p	16.5 p	15.2 p
PC,O,IT	: 	: 	: 	13.7 	: 	: 	: 	: 	: 	: 	: 
PC,O,LT	4.1 	3.6 	2.0 	3.2 	4.1 	4.9 	6.4 	7.6 b	8.7 	7.4 	5.5 
PC,O,LV	-0.4 	0.1 	-3.8 	1.4 	-2.2 	-3.7 	-4.4 	-3.4 	: 	: 	: 
PC,O,MK	: 	: 	: 	0.9 	: 	: 	: 	: 	: 	: 	: 
PC,O,NL	1.0 	2.5 	3.2 	3.2 	4.5 	6.7 	8.1 	13.7 	15.3 	15.9 	: 
PC,O,NO	13.0 	13.3 	13.9 	: 	16.5 	16.7 	18.0 	20.9 	: 	: 	: 
PC,O,PL	15.1 p	15.1 	15.6 	16.0 	16.8 	17.6 	17.2 	16.8 	17.1 	17.3 	17.6 
PC,O,PT	: 	: 	: 	: 	: 	: 	: 	: 	0.0 	: 	: 
PC,O,RO	3.3 e	0.3 e	0.6 e	-1.1 	0.2 	0.2 	2.0 	-0.2 	3.7 d	-2.1 d	-0.8 d
PC,O,SE	5.2 	6.0 	6.6 	3.7 	5.4 	6.8 	8.1 	10.1 	10.7 	12.2 	: 
PC,O,SI	6.1 	6.0 	3.4 	4.1 	3.5 	4.9 	5.0 	5.5 	8.5 	6.7 	4.9 
PC,O,SK	23.2 	19.7 	22.9 	21.4 	18.1 	20.9 	18.9 	23.2 	21.2 	19.6 	: 
PC,O,UK	12.8 p	13.5 	12.8 	13.7 	14.4 	15.6 	17.1 	19.4 b	17.7 	19.8 	20.8 
PC,P,AT	23.6 	24.3 	24.2 	24.3 	: 	: 	: 	27.8 	: 	: 	: 
PC,P,BE	2.7 	2.9 	3.0 	2.9 	3.1 	3.3 	3.3 	3.4 	3.5 	3.6 	3.7 
PC,P,BG	8.2 	11.3 	15.5 	15.6 	12.4 	13.9 	11.3 	13.2 	14.5 	11.9 	13.4 
PC,P,CH	7.0 	6.9 	7.9 	7.9 	8.0 	8.0 	8.1 	12.5 	13.6 d	13.7 d	: 
PC,P,CY	7.4 	7.2 	7.0 	7.0 	7.3 	8.9 	10.3 	11.4 	11.3 	13.0 	: 
PC,P,CZ	24.4 	24.7 	25.3 	25.9 	25.5 	24.6 	24.3 	21.7 	24.8 	25.4 	: 
PC,P,DE	12.7 p	13 p	12.5 p	12.7 	11.4 	10.5 	10.5 	9.6 	11.1 	12.8 	14.7 
PC,P,DK	5.3 	5.2 	5.7 	7.1 	8.4 	8.2 	8.6 	10.3 	8.7 	8.6 	: 
PC,P,EE	16.5 	19.5 	21.6 	22.3 	26.0 	25.9 	25.5 	23.8 	23.9 	24.0 	: 
PC,P,EL	: 	: 	: 	9.6 	: 	: 	: 	12.4 	: 	: 	: 
PC,P,ES	7.4 p	7.4 	5.2 	7.9 	9.5 	11.3 	12.8 	10.5 	10.8 	10.5 	11.5 
PC,P,FI	12.5 p	12.9 	14.8 	15.3 	15.7 	15.8 	16.3 	15.8 	15.4 	16.9 	: 
PC,P,FR	17.3 p	17.3 p	17.3 	17.5 	15.1 	14.3 	13.4 	13.9 	13.1 	15.8 	: 
PC,P,HR	19.8 	17.8 	: 	12.9 	11.5 	: 	: 	19.1 	: 	: 	: 
PC,P,HU	17.2 p	14.2 	11.7 	13.4 	36.0 	19.9 	17.6 	20.7 	18.9 	20.6 	: 
PC,P,IE	: 	: 	: 	16.9 	14.1 	15.7 	18.0 	25.3 	25.9 	26.0 	: 
PC,P,IS	12.8 p	12.7 p	13.2 p	13.3 p	14.9 p	15.1 p	15.7 p	15.9 p	17.3 p	21.8 p	21.8 p
PC,P,IT	: c	: c	: c	7.6 	6.1 	8.0 	11.8 	12.6 	: 	: 	: 
PC,P,LT	1.0 	2.8 	2.5 	3.1 	-0.1 	-0.4 	-1.7 	-1.7 b	-3.2 	2.0 	-0.1 
PC,P,LU	3.8 	3.8 	3.9 	3.8 	4.8 	5.5 	6.5 	6.7 	9.6 	12.5 	15.5 
PC,P,LV	-11.5 	-4.4 	1.2 	2.2 	2.5 	1.4 	2.2 	0.8 	: 	: 	: 
PC,P,ME	: 	: 	: 	13.7 	: 	: 	: 	: 	: 	: 	: 
PC,P,MK	: 	: 	: 	-1.0 	: 	: 	: 	: 	: 	: 	: 
PC,P,MT	7.2 	9.1 	10.0 	13.8 	9.8 	4.9 	-0.6 	-3.0 	1.2 	7.2 	: 
PC,P,NL	10.1 	11.2 	11.3 	11.7 	12.3 	12.5 	13.4 	21.2 	21.8 	22.2 	: 
PC,P,NO	7.3 	7.6 	7.9 	7.7 	8.7 	7.8 	8.6 	8.8 	9.8 	10.6 	: 
PC,P,PL	4.8 p	4.8 	4.9 	5.1 	3.4 	1.6 	1.3 	1.0 	2.8 	4.6 	6.4 
PC,P,PT	10.8 	10.6 	10.6 	10.3 	10.7 	11.1 	11.1 	12.4 	17.5 	17.2 	18.3 
PC,P,RO	9.4 e	9.8 e	2.2 e	3.3 	7.3 	7.9 	10.4 	11.5 	12.5 d	16.9 d	19.6 d
PC,P,RS	: 	: 	: 	5.5 	: 	: 	: 	: 	: 	: 	: 
PC,P,SE	8.2 	8.6 	10.1 	10.7 	10.7 	11.3 	11.7 	11.2 	11.3 	12.0 	: 
PC,P,SI	13.8 	13.0 	13.6 	13.4 	12.3 	11.1 	10.7 	9.7 	9.0 	9.2 	9.5 
PC,P,SK	13.9 	14.9 	14.7 	13.0 	13.9 	15.4 	15.6 	14.5 	14.9 	10.7 	: 
PC,P,TR	: 	: 	: 	-1.1 	: 	: 	: 	: 	: 	: 	: 
PC,P,UK	20.1 p	21.0 	20.4 	20.3 	20.1 	20.9 	20.8 	21.2 b	18.5 	19.2 	17.5 
PC,Q,AT	11.1 	11.5 	12.7 	12.8 	: 	: 	: 	12.0 	: 	: 	: 
PC,Q,BE	-1.1 	-0.8 	-0.6 	-0.5 	1.9 	4.5 	6.8 	9.3 	9.3 	9.4 	9.4 
PC,Q,BG	28.0 	30.2 	31.7 	29.2 	28.5 	29.2 	25.3 	27.2 	30.5 	30.2 	26.0 
PC,Q,CH	18.4 	18.2 	18.6 	18.7 	18.4 	18.1 	18.2 	19.1 	20.8 d	20.9 d	: 
PC,Q,CY	12.9 	12.9 	12.9 	14.0 	20.1 	24.9 	36.4 	37.6 	35.4 	32.7 	: 
PC,Q,CZ	25.7 	26.8 	27.8 	27.2 	29.9 	29.8 	27.7 	25.6 	27.1 	25.6 	: 
PC,Q,DE	20 p	20.9 p	21.6 p	23.3 	23.9 	24.2 	24.4 	24.6 	24.5 	24.4 	24.3 
PC,Q,DK	9.3 	8.6 	8.9 	10.1 	9.9 	10.7 	10.4 	13.0 	8.9 	14.3 	: 
PC,Q,EE	29.6 	27.5 	29.1 	32.6 	33.8 	32.2 	32.1 	34.8 	33.0 	31.3 	: 
PC,Q,EL	: 	: 	: 	8.4 	: 	: 	: 	20.6 	: 	: 	: 
PC,Q,ES	25.6 p	25.6 	23.1 	22.0 	24.9 	25.9 	23.5 	24.2 	24.7 	23.6 	24.9 
PC,Q,FI	23.5 p	24.2 	25.9 	25.8 	26.6 	27.7 	28.7 	29.6 	30.2 	30.2 	: 
PC,Q,FR	15 p	14.9 p	14.9 	15.3 	16.4 	16.1 	16.1 	18.2 	18.7 	18.6 	: 
PC,Q,HR	27.3 	19.5 	: 	19.5 	20.3 	: 	: 	24.3 	: 	: 	: 
PC,Q,HU	18.7 p	16.5 	16.0 	15.3 	16.2 	16.1 	16.4 	16.1 	17.0 	18.6 	: 
PC,Q,IE	: 	: 	: 	16.4 	18.5 	19.5 	21.4 	16.8 	21.4 	23.7 	: 
PC,Q,IS	13 p	12.8 p	12.4 p	10.2 p	11.2 p	14.3 p	14.5 p	13.3 p	16.2 p	18.5 p	23.3 p
PC,Q,IT	27.6 p	28.1 	30.1 	28.3 	28.6 	28.1 	24.7 	28.5 	: 	: 	: 
PC,Q,LT	28.0 	29.6 	34.3 	31.6 	28.3 	28.6 	24.8 	21.1 b	26.1 	25.1 	24.2 
PC,Q,LU	0.1 	0.1 	0.1 	0.1 	1.5 	2.3 	4.1 	5.2 	5.4 	5.6 	5.7 
PC,Q,LV	17.3 	19.1 	22.1 	22.5 	21.0 	16.7 	11.8 	11.1 	: 	: 	: 
PC,Q,ME	: 	: 	: 	16.2 	: 	: 	: 	: 	: 	: 	: 
PC,Q,MK	: 	: 	: 	13.9 	: 	: 	: 	: 	: 	: 	: 
PC,Q,MT	16.2 	17.2 	17.6 	17.8 	16.7 	15.4 	13.7 	12.4 	10.5 	8.5 	: 
PC,Q,NL	20.6 	21.1 	21.8 	21.8 	22.7 	23.7 	24.5 	16.5 	17.0 	17.2 	: 
PC,Q,NO	9.4 	8.8 	9.7 	10.7 	11.6 	11.7 	12.5 	12.7 	12.8 	13.4 	: 
PC,Q,PL	13.6 p	13.6 	15.5 	17.4 	19.0 	20.6 	19.2 	17.8 	20.3 	22.8 	25.3 
PC,Q,PT	28.2 	28.1 	28.3 	26.2 	27.7 	28.5 	30.0 	35.9 	33.0 	31.4 	30.9 
PC,Q,RO	8.5 e	7.4 e	6.8 e	8.9 	9.3 	6.6 	9.1 	8.6 	11.3 d	9.4 d	19.7 d
PC,Q,RS	: 	: 	: 	12.6 	: 	: 	: 	: 	: 	: 	: 
PC,Q,SE	9.9 	9.5 	12.0 	10.5 	12.2 	13.7 	14.6 	13.3 	14.0 	16.0 	: 
PC,Q,SI	19.7 	20.2 	20.9 	21.8 	19.9 	19.7 	18.9 	19.0 	20.0 	20.0 	20.4 
PC,Q,SK	27.0 	24.1 	26.2 	24.6 	22.8 	24.2 	24.2 	23.8 	17.5 	17.4 	: 
PC,Q,TR	: 	: 	: 	39.2 	: 	: 	: 	: 	: 	: 	: 
PC,Q,UK	25.4 p	25.8 	26.4 	26.6 	27.3 	28.0 	29.0 	31.9 b	31.6 	29.9 	32.7 
PC,R,AT	23.7 	24.4 	26.4 	26.6 	: 	: 	: 	34.0 	: 	: 	: 
PC,R,BE	0.8 	1.0 	1.1 	1.4 	3.4 	5.1 	6.9 	8.9 	9.0 	9.1 	9.2 
PC,R,BG	6.1 	8.4 	7.9 	13.2 	16.1 	18.9 	18.5 	18.3 	16.5 	20.9 	23.1 
PC,R,CH	14.3 	14.5 	14.5 	14.5 	15.3 	15.4 	15.6 	14.4 	13.7 d	13.8 d	: 
PC,R,CY	61.9 u	62.7 u	63.3 u	68.4 u	60.3 u	52.4 u	45.6 u	37.1 	33.6 	30.2 	: 
PC,R,CZ	13.0 	13.4 	14.2 	13.7 	12.9 	13.5 	11.7 	14.6 	13.8 	18.3 	: 
PC,R,DE	31.9 p	29.1 p	31.9 p	29.8 	29.0 	26.5 	28.8 	27.5 	28.1 	28.8 	27.7 
PC,R,DK	9.2 	9.3 	9.0 	11.1 	10.2 	8.9 	9.8 	8.2 	9.7 	10.2 	: 
PC,R,EE	18.3 	19.1 	19.3 	20.1 	28.6 	28.4 	19.9 	22.7 	20.3 	18.1 	: 
PC,R,EL	: 	: 	: 	12.1 	: 	: 	: 	2.4 	: 	: 	: 
PC,R,ES	11.9 p	11.9 	15.8 	17.2 	11.3 	14.7 	17.8 	22.2 	22.9 	23.5 	24.1 
PC,R,FI	10.5 p	9.4 	9.8 	9.2 	11.1 	8.0 	10.4 	10.8 	11.4 	10.4 	: 
PC,R,FR	30.1 p	30.1 p	30.0 	30.1 	26.5 	22.5 	19.5 	16.4 	17.4 	17.5 	: 
PC,R,HR	14.9 	14.1 	: 	9.4 	14.1 	: 	: 	15.2 	: 	: 	: 
PC,R,HU	37.5 u	21.9 	15.9 	18.3 	16.9 	16.6 	12.4 	3.2 	2.9 d	8.3 	: 
PC,R,IE	: 	: 	: 	: c	: c	: c	22.5 	: 	: 	: 	: 
PC,R,IT	: c	: c	: c	61.3 	: c	: c	: c	20.4 	: 	: 	: 
PC,R,LT	10.2 	12.1 	12.5 	11.6 	12.3 	13.4 	15.1 	12.4 b	20.7 	19.0 	22.9 
PC,R,LU	12.3 	14.0 	14.3 	15.1 	14.9 	16.6 	18.2 	19.5 u	: 	: 	: 
PC,R,LV	13.6 	12.4 	17.8 	8.3 	8.9 	11.2 	12.2 	11.3 	: 	: 	: 
PC,R,ME	: 	: 	: 	13.8 	: 	: 	: 	: 	: 	: 	: 
PC,R,MK	: 	: 	: 	19.9 	: 	: 	: 	: 	: 	: 	: 
PC,R,MT	18.2 	22.0 	22.1 	15.5 	17.8 	19.6 	21.2 	27.0 	20.2 	16.0 	: 
PC,R,NL	20.0 	20.1 	21.0 	21.9 	22.2 	21.9 	23.5 	18.8 	18.5 	18.8 	: 
PC,R,NO	7.9 	8.1 	7.7 	11.5 	13.5 	13.1 	11.0 	11.6 	12.8 	16.2 	: 
PC,R,PL	10.7 p	10.7 	10.2 	9.7 	9.0 	8.3 	10.1 	11.9 	13.6 	15.3 	17.0 
PC,R,PT	45.8 	44.2 	43.5 	26.3 	29.5 	40.5 	52.6 	57.7 	44.0 	49.7 	39.0 
PC,R,RO	13.3 e	15.7 e	14.2 e	4.6 	7.3 	9.2 	7.2 	6.2 	11.1 d	12.5 d	16.3 d
PC,R,RS	: 	: 	: 	3.5 	: 	: 	: 	: 	: 	: 	: 
PC,R,SE	7.9 	7.0 	7.4 	10.5 	11.7 	11.0 	10.6 	11.1 	9.7 	10.0 	: 
PC,R,SI	14.7 	16.3 	15.7 	16.6 	16.2 	17.0 	19.6 	20.1 	23.4 	24.2 	25.5 
PC,R,SK	17.7 	16.0 	19.6 	16.1 	16.3 	13.7 	14.3 	7.7 	16.9 	15.9 	: 
PC,R,TR	: 	: 	: 	11.8 	: 	: 	: 	: 	: 	: 	: 
PC,R,UK	42.7 p	36.5 	38.9 	26.0 	27.1 	26.2 	30.9 	24.3 b	28.0 	24.2 	26.7 
PC,S,AT	25.7 	27.1 	27.9 	28.8 	: 	: 	: 	32.0 	: 	: 	: 
PC,S,BE	22.0 	22.2 	22.3 	22.4 	21.8 	21.3 	20.7 	20.2 	20.2 	20.2 	20.2 
PC,S,BG	4.7 	1.9 	6.6 	3.5 	-1.9 	-0.9 	5.2 	-0.8 	0.8 	-3.7 	-3.5 
PC,S,CH	19.2 	19.4 	19.4 	19.4 	20.2 	20.2 	20.5 	22.7 	23.1 d	23.2 d	: 
PC,S,CY	30.9 u	31 u	32.2 u	32.2 u	38 u	41.3 u	45.9 u	48.1 u	48.6 u	45 u	: 
PC,S,CZ	23.5 	29.3 	32.2 	30.7 	26.1 	25.4 	12.7 	19.2 	17.7 	-1.6 	: 
PC,S,DE	20.5 p	20.8 p	21.4 p	23.0 	21.8 	24.1 	25.2 	24.1 	25.7 	26.4 	26.3 
PC,S,DK	9.5 	11.2 	9.6 	11.3 	12.4 	13.2 	16.2 	14.5 	12.3 	14.1 	: 
PC,S,EE	-3.3 	-0.8 	8.4 	22.7 	18.5 	12.1 	14.2 	30.7 	26.8 	23.6 	: 
PC,S,EL	: 	: 	: 	28.2 	: 	: 	: 	28.7 	: 	: 	: 
