GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2011/12;Rheinland-Pfalz;Ohne Hauptschulabschluss;1448;905;2353
2011/12;Rheinland-Pfalz;Hauptschulabschluss;5471;3494;8965
2011/12;Rheinland-Pfalz;Mittlerer Schulabschluss;9056;9203;18259
2011/12;Rheinland-Pfalz;Fachhochschulreife;424;487;911
2011/12;Rheinland-Pfalz;Allgemeine Hochschulreife;6113;7834;13947
2011/12;Saarland;Ohne Hauptschulabschluss;327;200;527
2011/12;Saarland;Hauptschulabschluss;1618;1135;2753
2011/12;Saarland;Mittlerer Schulabschluss;1673;1718;3391
2011/12;Saarland;Fachhochschulreife;72;94;166
2011/12;Saarland;Allgemeine Hochschulreife;1460;1670;3130
2011/12;Sachsen;Ohne Hauptschulabschluss;1362;926;2288
2011/12;Sachsen;Hauptschulabschluss;1630;1082;2712
2011/12;Sachsen;Mittlerer Schulabschluss;5959;5936;11895
2011/12;Sachsen;Fachhochschulreife;-;-;-
2011/12;Sachsen;Allgemeine Hochschulreife;3122;3697;6819
2011/12;Sachsen-Anhalt;Ohne Hauptschulabschluss;1016;652;1668
2011/12;Sachsen-Anhalt;Hauptschulabschluss;1337;856;2193
2011/12;Sachsen-Anhalt;Mittlerer Schulabschluss;3613;3383;6996
2011/12;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2011/12;Sachsen-Anhalt;Allgemeine Hochschulreife;1764;2317;4081
2011/12;Schleswig-Holstein;Ohne Hauptschulabschluss;1296;818;2114
2011/12;Schleswig-Holstein;Hauptschulabschluss;4054;3021;7075
2011/12;Schleswig-Holstein;Mittlerer Schulabschluss;5220;5485;10705
2011/12;Schleswig-Holstein;Fachhochschulreife;368;409;777
2011/12;Schleswig-Holstein;Allgemeine Hochschulreife;3910;4721;8631
2011/12;Thüringen;Ohne Hauptschulabschluss;675;349;1024
2011/12;Thüringen;Hauptschulabschluss;1108;782;1890
2011/12;Thüringen;Mittlerer Schulabschluss;3133;3086;6219
2011/12;Thüringen;Fachhochschulreife;-;-;-
2011/12;Thüringen;Allgemeine Hochschulreife;2065;2437;4502
2012/13;Baden-Württemberg;Ohne Hauptschulabschluss;3272;2245;5517
2012/13;Baden-Württemberg;Hauptschulabschluss;13762;10190;23952
2012/13;Baden-Württemberg;Mittlerer Schulabschluss;29180;28082;57262
2012/13;Baden-Württemberg;Fachhochschulreife;160;146;306
2012/13;Baden-Württemberg;Allgemeine Hochschulreife;15795;18013;33808
2012/13;Bayern;Ohne Hauptschulabschluss;3681;2311;5992
2012/13;Bayern;Hauptschulabschluss;18258;12879;31137
2012/13;Bayern;Mittlerer Schulabschluss;30329;32002;62331
2012/13;Bayern;Fachhochschulreife;3;3;6
2012/13;Bayern;Allgemeine Hochschulreife;17432;20252;37684
2012/13;Berlin;Ohne Hauptschulabschluss;1209;906;2115
2012/13;Berlin;Hauptschulabschluss;3318;2613;5931
2012/13;Berlin;Mittlerer Schulabschluss;5212;4912;10124
2012/13;Berlin;Fachhochschulreife;-;-;-
2012/13;Berlin;Allgemeine Hochschulreife;5708;6522;12230
2012/13;Brandenburg;Ohne Hauptschulabschluss;886;546;1432
2012/13;Brandenburg;Hauptschulabschluss;1637;1073;2710
2012/13;Brandenburg;Mittlerer Schulabschluss;3648;3512;7160
2012/13;Brandenburg;Fachhochschulreife;-;-;-
2012/13;Brandenburg;Allgemeine Hochschulreife;3122;3595;6717
2012/13;Bremen;Ohne Hauptschulabschluss;265;184;449
2012/13;Bremen;Hauptschulabschluss;923;652;1575
2012/13;Bremen;Mittlerer Schulabschluss;1396;1271;2667
2012/13;Bremen;Fachhochschulreife;57;93;150
2012/13;Bremen;Allgemeine Hochschulreife;1351;1422;2773
2012/13;Hamburg;Ohne Hauptschulabschluss;395;302;697
2012/13;Hamburg;Hauptschulabschluss;883;628;1511
2012/13;Hamburg;Mittlerer Schulabschluss;1965;1726;3691
2012/13;Hamburg;Fachhochschulreife;34;27;61
2012/13;Hamburg;Allgemeine Hochschulreife;3845;4350;8195
2012/13;Hessen;Ohne Hauptschulabschluss;1792;1237;3029
2012/13;Hessen;Hauptschulabschluss;6921;4820;11741
2012/13;Hessen;Mittlerer Schulabschluss;15582;15193;30775
2012/13;Hessen;Fachhochschulreife;252;193;445
2012/13;Hessen;Allgemeine Hochschulreife;12583;15821;28404
2012/13;Mecklenburg-Vorpommern;Ohne Hauptschulabschluss;726;429;1155
2012/13;Mecklenburg-Vorpommern;Hauptschulabschluss;802;543;1345
2012/13;Mecklenburg-Vorpommern;Mittlerer Schulabschluss;2439;2285;4724
2012/13;Mecklenburg-Vorpommern;Fachhochschulreife;-;-;-
2012/13;Mecklenburg-Vorpommern;Allgemeine Hochschulreife;1531;1798;3329
2012/13;Niedersachsen;Ohne Hauptschulabschluss;2656;1716;4372
2012/13;Niedersachsen;Hauptschulabschluss;7147;4985;12132
2012/13;Niedersachsen;Mittlerer Schulabschluss;22700;21468;44168
2012/13;Niedersachsen;Fachhochschulreife;-;-;-
2012/13;Niedersachsen;Allgemeine Hochschulreife;11666;14131;25797
2012/13;Nordrhein-Westfalen;Ohne Hauptschulabschluss;6633;4557;11190
2012/13;Nordrhein-Westfalen;Hauptschulabschluss;19762;14686;34448
