Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2010/11;SF133;Medienk./Komm.-/Infowissenschaft (ab 08 zu SF303);-;-;-
WS 2010/11;SF305;Medientechnik;317;186;503
WS 2010/11;SF304;Medienwirtschaft/Medienmanagement;371;658;1029
WS 2010/11;SF302;Medienwissenschaft;376;1055;1431
WS 2010/11;SF107;Medizin (Allgemein-Medizin);3528;5691;9219
WS 2010/11;SF247;Medizinische Informatik;202;179;381
WS 2010/11;SF061;Meliorationswesen;-;-;-
WS 2010/11;SF108;Metalltechnik;126;17;143
WS 2010/11;SF110;Meteorologie;167;147;314
WS 2010/11;SF157;Mikroelektronik;13;3;16
WS 2010/11;SF286;Mikrosystemtechnik;351;60;411
WS 2010/11;SF220;Milch- und Molkereiwirtschaft;10;16;26
WS 2010/11;SF111;Mineralogie;2;1;3
WS 2010/11;SF273;Mittlere und neuere Geschichte;26;19;45
WS 2010/11;SF113;Musikerziehung;350;591;941
WS 2010/11;SF114;Musikwissenschaft/-geschichte;385;433;818
WS 2010/11;SF064;Naturschutz;53;64;117
WS 2010/11;SF223;Nautik/Seefahrt;229;48;277
WS 2010/11;SF287;Neue Medien;202;241;443
WS 2010/11;SF043;Neugriechisch;3;8;11
WS 2010/11;SF233;Nichtärztliche Heilberufe/Therapien;160;838;998
WS 2010/11;SF189;Niederdeutsch;-;-;-
WS 2010/11;SF119;Niederländisch;22;47;69
WS 2010/11;SF120;Nordistik/Skandinavist.(Nord.Phil.,Einzelsp.a.n.g);85;236;321
WS 2010/11;SF088;Optoelektronik;129;36;165
WS 2010/11;SF165;Orchestermusik;102;121;223
WS 2010/11;SF122;Orientalistik, Altorientalistik;85;133;218
WS 2010/11;SF044;Ost- und Südosteuropa;27;118;145
WS 2010/11;SF124;Ozeanografie;2;7;9
WS 2010/11;SF365;Pädagogik der frühen Kindheit;-;-;-
WS 2010/11;SF353;Pflanzenproduktion;38;22;60
WS 2010/11;SF234;Pflegewissenschaft/-management;217;724;941
WS 2010/11;SF126;Pharmazie;478;1302;1780
WS 2010/11;SF127;Philosophie;1221;1055;2276
WS 2010/11;SF128;Physik;4347;1134;5481
WS 2010/11;SF224;Physikalische Technik;491;101;592
WS 2010/11;SF129;Politikwissenschaft/Politologie;2424;2218;4642
WS 2010/11;SF263;Polizei/Verfassungsschutz;2124;1110;3234
WS 2010/11;SF206;Polnisch;9;38;47
WS 2010/11;SF131;Portugiesisch;5;25;30
WS 2010/11;SF132;Psychologie;1388;5265;6653
WS 2010/11;SF109;Publizistik (ab 2008 zu SF303);-;-;-
WS 2010/11;SF134;Raumplanung;349;445;794
WS 2010/11;SF256;Rechtspflege;159;470;629
WS 2010/11;SF135;Rechtswissenschaft;5827;8692;14519
WS 2010/11;SF310;Regenerative Energien;-;-;-
WS 2010/11;SF136;Religionswissenschaft;57;116;173
WS 2010/11;SF101;Restaurierungskunde;22;130;152
WS 2010/11;SF163;Rhythmik;-;-;-
WS 2010/11;SF137;Romanistik (Roman.Philologie,Einzelsprach. a.n.g.);146;756;902
WS 2010/11;SF139;Russisch;35;171;206
WS 2010/11;SF254;Sachunterricht (einschließlich Schulgarten);1;9;10
WS 2010/11;SF102;Schauspiel;48;44;92
WS 2010/11;SF142;Schiffbau/Schiffstechnik;156;21;177
WS 2010/11;SF361;Schulpädagogik;11;25;36
WS 2010/11;SF145;Sinologie/Koreanistik;135;311;446
WS 2010/11;SF146;Slawistik (Slawische Philologie);78;276;354
WS 2010/11;SF190;Sonderpädagogik;110;625;735
WS 2010/11;SF290;Sonstige Fächer;463;573;1036
WS 2010/11;SF036;Sonstige Regionalwissenschaften;55;111;166
WS 2010/11;SF207;Sorbisch;4;11;15
WS 2010/11;SF208;Soziale Arbeit;1109;4261;5370
WS 2010/11;SF147;Sozialkunde;205;259;464
WS 2010/11;SF046;Sozialmed./Öff. Gesundheitsw. (ab 2004 zu SF232);-;-;-
WS 2010/11;SF245;Sozialpädagogik;232;935;1167
WS 2010/11;SF264;Sozialversicherung;144;324;468
WS 2010/11;SF253;Sozialwesen;843;3542;4385
WS 2010/11;SF148;Sozialwissenschaft;1046;1728;2774
WS 2010/11;SF149;Soziologie;1003;2097;3100
WS 2010/11;SF150;Spanisch;200;892;1092
WS 2010/11;SF166;Sportmanagement/Sportökonomie;384;154;538
WS 2010/11;SF098;Sportpädagogik/Sportpsychologie;782;669;1451
WS 2010/11;SF029;Sportwissenschaft;1363;939;2302
WS 2010/11;SF151;Sprachheilpädagogik/Logopädie (ab 2016 zu SF190);8;139;147
WS 2010/11;SF429;Stahlbau;12;-;12
WS 2010/11;SF196;Studienkolleg;-;-;-
WS 2010/11;SF153;Südslawisch(Bulgarisch,Serbokroatisch,Slowen.usw.);2;4;6
WS 2010/11;SF106;Tanzpädagogik;23;58;81
