"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Australia","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.2","1"
"Australia","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","127.5","1"
"Australia","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","122.6","1"
"Australia","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","126.8","1"
"Australia","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","130.3","1"
"Australia","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.9","1"
"Australia","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.9","1"
"Australia","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","170.9","1"
"Australia","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","184.2","1"
"Australia","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","192.5","1"
"Australia","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","201.1","1"
"Australia","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","211.6","1"
"Austria","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","137.5",""
"Austria","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","146.3",""
"Austria","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","157.6",""
"Austria","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","167.5",""
"Austria","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","176.3",""
"Austria","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.8",""
"Austria","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","163.0",""
"Austria","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","176.1",""
"Austria","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","189.5",""
"Austria","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","187.0",""
"Austria","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","248.3",""
"Austria","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","252.1",""
"Austria","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","249.9",""
"Austria","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","249.4",""
"Austria","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","247.4",""
"Azerbaijan","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","139.3",""
"Azerbaijan","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.4",""
"Azerbaijan","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","138.9",""
"Azerbaijan","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","156.1",""
"Azerbaijan","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","188.0",""
"Azerbaijan","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.8",""
"Azerbaijan","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","142.1",""
"Azerbaijan","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","157.7",""
"Azerbaijan","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","187.7",""
"Azerbaijan","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","207.2",""
"Azerbaijan","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","240.8",""
"Azerbaijan","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","268.2",""
"Azerbaijan","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","246.2",""
"Azerbaijan","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","232.7",""
"Azerbaijan","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","240.3",""
"Bahamas","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","126.1",""
"Bahamas","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.4",""
"Bahamas","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","125.7",""
"Bahamas","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","129.0",""
"Bahamas","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","128.8",""
"Bahamas","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.5",""
"Bahamas","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.8",""
"Bahamas","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.8",""
"Bahamas","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","135.1",""
"Bahamas","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","133.9",""
"Bahamas","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","165.8",""
"Bahamas","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","155.7",""
"Bahamas","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","151.1",""
"Bahamas","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","161.1",""
"Bahamas","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","170.2",""
"Bahrain","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.1",""
"Bahrain","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","96.0",""
"Bahrain","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","88.7",""
"Bahrain","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","86.0",""
"Bahrain","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","82.7",""
"Bahrain","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.0",""
"Bahrain","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","93.5",""
"Bahrain","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","89.9",""
"Bahrain","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","86.3",""
"Bahrain","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","83.0",""
"Bahrain","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.9",""
"Bahrain","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","91.9",""
"Bahrain","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","89.6",""
"Bahrain","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","83.2",""
"Bahrain","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","80.0",""
"Bangladesh","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.4",""
